artist,city,state,country,region
the notorious big,Brooklyn,NY,US,East
2pac,,CA,US,West
nicki minaj,Queens,NY,US,East
eminem,Detroit,MI,US,Midwest
kendrick lamar,Los Angeles,CA,US,West
dr dre,Los Angeles,CA,US,West
nas,Queens,NY,US,East
j cole,Fayetteville,NC,US,South
drake,Toronto,Ontario,Canada,Canada
rihanna,,,Barbados,Carribbean
post malone,Grapevine,TX,US,South
qtip,Queens,NY,US,East
phife dawg,Queens,NY,US,East
kid cudi,Cleveland,OH,US,Midwest
lil wayne,New Orleans,LA,US,South
kanye west,Chicago,IL,US,Midwest
jayz,Brooklyn,NY,US,East
beyonce,Houston,TX,US,South
travis scott,Houston,TX,US,South
juice wrld,Chicago,IL,US,Midwest
dababy,Charlotte,NC,US,South
cardi b,Bronx,NY,US,East
meek mill,Philadelphia,PA,US,East
rick ross,Miami,FL,US,South
lizzo,Minneapolis,MN,US,Midwest
21 savage,Atlanta,GA,US,South
xxxtentacion,,FL,US,South
chris brown,,VA,US,South
kodak black,,FL,US,South
childish gambino,Atlanta,GA,US,South
a boogie wit da hoodie,Bronx,NY,US,East
young thug,Atlanta,GA,US,South
swae lee,Los Angeles,CA,US,West
slim jxmmi,Los Angeles,CA,US,West
dj khaled,New Orleans,LA,US,South
offset,Atlanta,GA,US,South
takeoff,Atlanta,GA,US,South
quavo,Atlanta,GA,US,South
tyler the creator,Los Angeles,CA,US,West
future,Atlanta,GA,US,South
blueface,Los Angeles,CA,US,West
nipsey hussle,Los Angeles,CA,US,West
megan thee stallion,Houston,TX,US,South
lil uzi vert,Philadelphia,PA,US,East
6ix9ine,Brooklyn,NY,US,East
trippie redd,Canton,OH,US,Midwest
sheck wes,Harlem,NY,US,East
lil baby,Atlanta,GA,US,South
youngboy never broke again,Baton Rouge,LA,US,South
geazy,Bay Area,CA,US,West
lil pump,Miami,FL,US,South
logic,Rockville,MD,US,South
sza,,NJ,US,East
gucci mane,Atlanta,GA,US,South
yg,Los Angeles,CA,US,West
gunna,Atlanta,GA,US,South
ty dolla sign,Los Angeles,CA,US,West
tyga,Los Angeles,CA,US,West
asap rocky,Harlem,NY,US,East
asap ferg,Harlem,NY,US,East
her,Bay Area,CA,US,West
big sean,Detroit,MI,US,Midwest
french montana,Bronx,NY,US,East
playboi carti,Atlanta,GA,US,South
